time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:27.526670,26639,1645056687,524735212,,671937.576109909,4689617.17617331,1,42,T
2022/02/16/19:11:27.526760,26640,1645056687,524735212,,671937.576109909,4689617.17617331,1,42,T
2022/02/16/19:11:27.724437,26641,1645056687,722631216,,671937.65490524,4689617.4599618,1,42,T
2022/02/16/19:11:27.724542,26642,1645056687,722631216,,671937.65490524,4689617.4599618,1,42,T
2022/02/16/19:11:27.922116,26643,1645056687,920140743,127,671937.781544459,4689617.66773482,5,42,T
2022/02/16/19:11:27.922475,26644,1645056687,920140743,128,671937.781544459,4689617.66773482,5,42,T
2022/02/16/19:11:28.121150,26645,1645056688,119610548,,671937.84802923,4689617.91466727,1,42,T
2022/02/16/19:11:28.121871,26646,1645056688,119610548,,671937.84802923,4689617.91466727,1,42,T
2022/02/16/19:11:28.324799,26647,1645056688,323038101,129,671937.92267541,4689618.10390766,5,42,T
2022/02/16/19:11:28.324921,26648,1645056688,323038101,130,671937.92267541,4689618.10390766,5,42,T
2022/02/16/19:11:28.523973,26649,1645056688,522139072,131,671938.016543736,4689618.28397116,5,42,T
2022/02/16/19:11:28.524891,26650,1645056688,522139072,132,671938.016543736,4689618.28397116,5,42,T
2022/02/16/19:11:28.724246,26651,1645056688,721292018,133,671938.09533544,4689618.52304139,5,42,T
2022/02/16/19:11:28.724271,26652,1645056688,721292018,134,671938.09533544,4689618.52304139,5,42,T
2022/02/16/19:11:28.922625,26653,1645056688,921057224,135,671938.237203547,4689618.72729164,5,42,T
2022/02/16/19:11:28.923555,26654,1645056688,921057224,136,671938.237203547,4689618.72729164,5,42,T
2022/02/16/19:11:29.133100,26655,1645056689,130949735,137,671938.355829431,4689618.92503369,5,42,T
2022/02/16/19:11:29.133396,26656,1645056689,130949735,138,671938.355829431,4689618.92503369,5,42,T
2022/02/16/19:11:29.332729,26657,1645056689,330494403,139,671938.461203004,4689619.10185411,5,42,T
2022/02/16/19:11:29.333036,26658,1645056689,330494403,140,671938.461203004,4689619.10185411,5,42,T
2022/02/16/19:11:29.531481,26659,1645056689,529007196,141,671938.580224897,4689619.28346281,5,42,T
2022/02/16/19:11:29.531505,26660,1645056689,529007196,142,671938.580224897,4689619.28346281,5,42,T
2022/02/16/19:11:29.730136,26661,1645056689,728471517,143,671938.704902593,4689619.4982387,5,42,T
2022/02/16/19:11:29.731240,26662,1645056689,728471517,144,671938.704902593,4689619.4982387,5,42,T
2022/02/16/19:11:29.931798,26663,1645056689,929845809,145,671938.838819112,4689619.72919889,5,42,T
2022/02/16/19:11:29.931829,26664,1645056689,929845809,146,671938.838819112,4689619.72919889,5,42,T
2022/02/16/19:11:30.129470,26665,1645056690,127958059,147,671938.936281064,4689619.92549369,5,42,T
2022/02/16/19:11:30.130583,26666,1645056690,127958059,148,671938.936281064,4689619.92549369,5,42,T
2022/02/16/19:11:30.329664,26667,1645056690,327944993,149,671939.023679794,4689620.16162082,5,42,T
2022/02/16/19:11:30.330528,26668,1645056690,327944993,150,671939.023679794,4689620.16162082,5,42,T
2022/02/16/19:11:30.529181,26669,1645056690,527074098,151,671939.120857528,4689620.40875004,5,42,T
2022/02/16/19:11:30.529197,26670,1645056690,527074098,152,671939.120857528,4689620.40875004,5,42,T
2022/02/16/19:11:30.728055,26671,1645056690,725719451,153,671939.248133433,4689620.61301323,5,42,T
2022/02/16/19:11:30.728223,26672,1645056690,725719451,154,671939.248133433,4689620.61301323,5,42,T
2022/02/16/19:11:30.927068,26673,1645056690,924908876,155,671939.3918542,4689620.84272968,5,42,T
2022/02/16/19:11:30.927127,26674,1645056690,924908876,156,671939.3918542,4689620.84272968,5,42,T
2022/02/16/19:11:31.129254,26675,1645056691,126877546,157,671939.520488172,4689621.07578685,5,42,T
2022/02/16/19:11:31.129307,26676,1645056691,126877546,158,671939.520488172,4689621.07578685,5,42,T
2022/02/16/19:11:31.328428,26677,1645056691,326483011,159,671939.626433237,4689621.26857884,5,42,T
2022/02/16/19:11:31.328498,26678,1645056691,326483011,160,671939.626433237,4689621.26857884,5,42,T
2022/02/16/19:11:31.527476,26679,1645056691,525420904,161,671939.756862704,4689621.43970554,5,42,T
2022/02/16/19:11:31.527535,26680,1645056691,525420904,162,671939.756862704,4689621.43970554,5,42,T
2022/02/16/19:11:31.726882,26681,1645056691,724713325,163,671939.859152392,4689621.62999562,5,42,T
