%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z
1.64609932106389E+018,24667,0,2.5345792,-0.0731,0.7017,0.1067
1.64609932108883E+018,24668,0,2.494208,-0.0739,0.7077,0.1089
1.64609932111473E+018,24669,0,2.5894912,-0.073,0.7047,0.1114
1.6460993211386E+018,24670,0,2.387712,-0.0729,0.7116,0.1078
1.64609932116444E+018,24671,0,2.58368,-0.073,0.7047,0.1114
1.64609932118971E+018,24672,0,2.5271552,-0.073,0.7027,0.1102
1.6460993212141E+018,24673,0,2.4387584,-0.073,0.7057,0.1114
1.64609932123887E+018,24674,0,2.4771584,-0.073,0.7077,0.1102
1.64609932126385E+018,24675,0,2.4982272,-0.0739,0.7126,0.1101
1.64609932128877E+018,24676,0,2.491648,-0.074,0.7028,0.1125
1.64609932131364E+018,24677,0,2.4866048,-0.0749,0.7058,0.1124
1.64609932133836E+018,24678,0,2.4726272,-0.072,0.7106,0.1067
1.6460993213645E+018,24679,0,2.613632,-0.0711,0.7046,0.1127
1.64609932138845E+018,24680,0,2.395136,-0.073,0.7057,0.1102
1.64609932141428E+018,24681,0,2.5826816,-0.0749,0.7057,0.1042
1.64609932143921E+018,24682,0,2.4932608,-0.074,0.7037,0.1055
1.64609932146422E+018,24683,0,2.5010944,-0.074,0.7047,0.1078
1.64609932148891E+018,24684,0,2.4688128,-0.0702,0.7026,0.1139
1.64609932151375E+018,24685,0,2.483968,-0.073,0.7027,0.1114
1.64609932153858E+018,24686,0,2.483456,-0.074,0.7067,0.1078
1.6460993215636E+018,24687,0,2.5016832,-0.073,0.7057,0.1102
1.64609932158887E+018,24688,0,2.5272576,-0.074,0.7037,0.109
1.64609932161335E+018,24689,0,2.4474368,-0.073,0.7067,0.1114
1.64609932163806E+018,24690,0,2.4712192,-0.0711,0.7056,0.1138
1.64609932166427E+018,24691,0,2.6212864,-0.0721,0.7037,0.1067
1.64609932168865E+018,24692,0,2.4376576,-0.073,0.7077,0.1066
